Original Code,Extracted Variable
"static void filter_mirror_setup(NetFilterState *nf, Error **errp) { MirrorState *s = FILTER_MIRROR(nf); Chardev *chr; chr = qemu_chr_find(s->outdev); if (chr == NULL) { error_set(errp, ERROR_CLASS_DEVICE_NOT_FOUND, ""Device '%s' not found"", s->outdev); qemu_chr_fe_init(&s->chr_out, chr, errp);","[['nf'], ['errp'], ['s'], ['FILTER_MIRROR'], ['chr'], ['qemu_chr_find'], ['error_set'], ['ERROR_CLASS_DEVICE_NOT_FOUND'], ['qemu_chr_fe_init']]"
"static inline int64_t sub64(const int64_t a, const int64_t b) { return a - b; }","[['a'], ['b']]"
"void fw_cfg_add_callback(FWCfgState *s, uint16_t key, FWCfgCallback callback, void *callback_opaque, uint8_t *data, size_t len) { int arch = !!(key & FW_CFG_ARCH_LOCAL); assert(key & FW_CFG_WRITE_CHANNEL); key &= FW_CFG_ENTRY_MASK; assert(key < FW_CFG_MAX_ENTRY && len <= 65535); s->entries[arch][key].data = data; s->entries[arch][key].len = len; s->entries[arch][key].callback_opaque = callback_opaque; s->entries[arch][key].callback = callback; }","[['s'], ['key'], ['callback'], ['callback_opaque'], ['data'], ['len'], ['arch'], ['FW_CFG_ARCH_LOCAL'], ['assert'], ['FW_CFG_WRITE_CHANNEL'], ['FW_CFG_ENTRY_MASK'], ['FW_CFG_MAX_ENTRY']]"
"static void emulated_push_error(EmulatedState *card, uint64_t code) { EmulEvent *event = (EmulEvent *)g_malloc(sizeof(EmulEvent)); assert(event); event->p.error.type = EMUL_ERROR; event->p.error.code = code; emulated_push_event(card, event); }","[['card'], ['code'], ['event'], ['g_malloc'], ['EmulEvent'], ['assert'], ['EMUL_ERROR'], ['emulated_push_event']]"
"static void do_busid_cmd(ESPState *s, uint8_t *buf, uint8_t busid) { int32_t datalen; int lun; DPRINTF(""do_busid_cmd: busid 0x%x\n"", busid); lun = busid & 7; s->current_req = scsi_req_new(s->current_dev, 0, lun, NULL); datalen = scsi_req_enqueue(s->current_req, buf); s->ti_size = datalen; if (datalen != 0) { s->rregs[ESP_RSTAT] = STAT_TC; s->dma_left = 0; s->dma_counter = 0; if (datalen > 0) { s->rregs[ESP_RSTAT] |= STAT_DI; } else { s->rregs[ESP_RSTAT] |= STAT_DO; } scsi_req_continue(s->current_req); } s->rregs[ESP_RINTR] = INTR_BS | INTR_FC; s->rregs[ESP_RSEQ] = SEQ_CD; esp_raise_irq(s); }","[['s'], ['buf'], ['busid'], ['datalen'], ['lun'], ['DPRINTF'], ['scsi_req_new'], ['scsi_req_enqueue'], ['STAT_TC'], ['STAT_DI'], ['STAT_DO'], ['scsi_req_continue'], ['INTR_BS'], ['INTR_FC'], ['SEQ_CD'], ['esp_raise_irq']]"
"static void rtas_ibm_change_msi(PowerPCCPU *cpu, sPAPRMachineState *spapr, uint32_t token, uint32_t nargs, target_ulong args, uint32_t nret, target_ulong rets) { uint32_t config_addr = rtas_ld(args, 0); uint64_t buid = rtas_ldq(args, 1); unsigned int func = rtas_ld(args, 3); unsigned int req_num = rtas_ld(args, 4); /* 0 == remove all */ unsigned int seq_num = rtas_ld(args, 5); unsigned int ret_intr_type; unsigned int irq, max_irqs = 0, num = 0; sPAPRPHBState *phb = NULL; PCIDevice *pdev = NULL; spapr_pci_msi *msi; int *config_addr_key; switch (func) { case RTAS_CHANGE_MSI_FN: case RTAS_CHANGE_FN: ret_intr_type = RTAS_TYPE_MSI; break; case RTAS_CHANGE_MSIX_FN: ret_intr_type = RTAS_TYPE_MSIX; break; default: error_report(""rtas_ibm_change_msi(%u) is not implemented"", func); rtas_st(rets, 0, RTAS_OUT_PARAM_ERROR); return; } /* Fins sPAPRPHBState */ phb = spapr_pci_find_phb(spapr, buid); if (phb) { pdev = spapr_pci_find_dev(spapr, buid, config_addr); } if (!phb || !pdev) { rtas_st(rets, 0, RTAS_OUT_PARAM_ERROR); return; } /* Releasing MSIs */ if (!req_num) { msi = (spapr_pci_msi *) g_hash_table_lookup(phb->msi, &config_addr); if (!msi) { trace_spapr_pci_msi(""Releasing wrong config"", config_addr); rtas_st(rets, 0, RTAS_OUT_HW_ERROR); return; } xics_free(spapr->icp, msi->first_irq, msi->num); if (msi_present(pdev)) { spapr_msi_setmsg(pdev, 0, false, 0, num); } if (msix_present(pdev)) { spapr_msi_setmsg(pdev, 0, true, 0, num); } g_hash_table_remove(phb->msi, &config_addr); trace_spapr_pci_msi(""Released MSIs"", config_addr); rtas_st(rets, 0, RTAS_OUT_SUCCESS); rtas_st(rets, 1, 0); return; } /* Enabling MSI */ /* Check if the device supports as many IRQs as requested */ if (ret_intr_type == RTAS_TYPE_MSI) { max_irqs = msi_nr_vectors_allocated(pdev); } else if (ret_intr_type == RTAS_TYPE_MSIX) { max_irqs = pdev->msix_entries_nr; } if (!max_irqs) { error_report(""Requested interrupt type %d is not enabled for device %x"", ret_intr_type, config_addr); rtas_st(rets, 0, -1); /* Hardware error */ return; } /* Correct the number if the guest asked for too many */ if (req_num > max_irqs) { trace_spapr_pci_msi_retry(config_addr, req_num, max_irqs); req_num = max_irqs; irq = 0; /* to avoid misleading trace */ goto out; } /* Allocate MSIs */ irq = xics_alloc_block(spapr->icp, 0, req_num, false, ret_intr_type == RTAS_TYPE_MSI); if (!irq) { error_report(""Cannot allocate MSIs for device %x"", config_addr); rtas_st(rets, 0, RTAS_OUT_HW_ERROR); return; } /* Setup MSI/MSIX vectors in the device (via cfgspace or MSIX BAR) */ spapr_msi_setmsg(pdev, SPAPR_PCI_MSI_WINDOW, ret_intr_type == RTAS_TYPE_MSIX, irq, req_num); /* Add MSI device to cache */ msi = g_new(spapr_pci_msi, 1); msi->first_irq = irq; msi->num = req_num; config_addr_key = g_new(int, 1); *config_addr_key = config_addr; g_hash_table_insert(phb->msi, config_addr_key, msi); out: rtas_st(rets, 0, RTAS_OUT_SUCCESS); rtas_st(rets, 1, req_num); rtas_st(rets, 2, ++seq_num); if (nret > 3) { rtas_st(rets, 3, ret_intr_type); } trace_spapr_pci_rtas_ibm_change_msi(config_addr, func, req_num, irq); }","[['cpu'], ['spapr'], ['token'], ['nargs'], ['args'], ['nret'], ['rets'], ['config_addr'], ['rtas_ld'], ['buid'], ['rtas_ldq'], ['func'], ['req_num'], ['seq_num'], ['ret_intr_type'], ['irq'], ['max_irqs'], ['num'], ['phb'], ['pdev'], ['msi'], ['config_addr_key'], ['RTAS_CHANGE_MSI_FN'], ['RTAS_CHANGE_FN'], ['RTAS_TYPE_MSI'], ['RTAS_CHANGE_MSIX_FN'], ['RTAS_TYPE_MSIX'], ['error_report'], ['rtas_st'], ['RTAS_OUT_PARAM_ERROR'], ['spapr_pci_find_phb'], ['spapr_pci_find_dev'], ['g_hash_table_lookup'], ['trace_spapr_pci_msi'], ['RTAS_OUT_HW_ERROR'], ['xics_free'], ['msi_present'], ['spapr_msi_setmsg'], ['msix_present'], ['g_hash_table_remove'], ['RTAS_OUT_SUCCESS'], ['msi_nr_vectors_allocated'], ['trace_spapr_pci_msi_retry'], ['xics_alloc_block'], ['SPAPR_PCI_MSI_WINDOW'], ['g_new'], ['spapr_pci_msi'], ['g_hash_table_insert'], ['trace_spapr_pci_rtas_ibm_change_msi']]"
"void gdb_do_syscall(gdb_syscall_complete_cb cb, const char *fmt, ...) { va_list va; char buf[256]; char *p; target_ulong addr; uint64_t i64; GDBState *s; s = gdbserver_state; if (!s) return; gdb_current_syscall_cb = cb; s->state = RS_SYSCALL; #ifndef CONFIG_USER_ONLY vm_stop(EXCP_DEBUG); #endif s->state = RS_IDLE; va_start(va, fmt); p = buf; *(p++) = 'F'; while (*fmt) { if (*fmt == '%') { fmt++; switch (*fmt++) { case 'x': addr = va_arg(va, target_ulong); p += snprintf(p, &buf[sizeof(buf)] - p, TARGET_FMT_lx, addr); break; case 'l': if (*(fmt++) != 'x') goto bad_format; i64 = va_arg(va, uint64_t); p += snprintf(p, &buf[sizeof(buf)] - p, ""%"" PRIx64, i64); break; case 's': addr = va_arg(va, target_ulong); p += snprintf(p, &buf[sizeof(buf)] - p, TARGET_FMT_lx ""/%x"", addr, va_arg(va, int)); break; default: bad_format: fprintf(stderr, ""gdbstub: Bad syscall format string '%s'\n"", fmt - 1); break; } } else { *(p++) = *(fmt++); } } *p = 0; va_end(va); put_packet(s, buf); #ifdef CONFIG_USER_ONLY gdb_handlesig(s->c_cpu, 0); #else cpu_interrupt(s->c_cpu, CPU_INTERRUPT_EXIT); #endif }","[['cb'], ['fmt'], ['va'], ['buf'], ['p'], ['addr'], ['i64'], ['s'], ['gdbserver_state'], ['gdb_current_syscall_cb'], ['RS_SYSCALL'], ['CONFIG_USER_ONLY'], ['vm_stop'], ['EXCP_DEBUG'], ['RS_IDLE'], ['va_start'], ['va_arg'], ['target_ulong'], ['TARGET_FMT_lx'], ['uint64_t'], ['PRIx64'], ['va_end'], ['put_packet'], ['gdb_handlesig'], ['cpu_interrupt'], ['CPU_INTERRUPT_EXIT']]"
"static void gen_cp0 (CPUState *env, DisasContext *ctx, uint32_t opc, int rt, int rd) { const char *opn = ""ldst""; switch (opc) { case OPC_MFC0: if (rt == 0) { /* Treat as NOP */ return; } gen_mfc0(ctx, rd, ctx->opcode & 0x7); gen_op_store_T0_gpr(rt); opn = ""mfc0""; break; case OPC_MTC0: GEN_LOAD_REG_TN(T0, rt); gen_mtc0(ctx, rd, ctx->opcode & 0x7); opn = ""mtc0""; break; #ifdef TARGET_MIPS64 case OPC_DMFC0: if (rt == 0) { /* Treat as NOP */ return; } gen_dmfc0(ctx, rd, ctx->opcode & 0x7); gen_op_store_T0_gpr(rt); opn = ""dmfc0""; break; case OPC_DMTC0: GEN_LOAD_REG_TN(T0, rt); gen_dmtc0(ctx, rd, ctx->opcode & 0x7); opn = ""dmtc0""; break; #endif case OPC_TLBWI: opn = ""tlbwi""; if (!env->do_tlbwi) goto die; gen_op_tlbwi(); break; case OPC_TLBWR: opn = ""tlbwr""; if (!env->do_tlbwr) goto die; gen_op_tlbwr(); break; case OPC_TLBP: opn = ""tlbp""; if (!env->do_tlbp) goto die; gen_op_tlbp(); break; case OPC_TLBR: opn = ""tlbr""; if (!env->do_tlbr) goto die; gen_op_tlbr(); break; case OPC_ERET: opn = ""eret""; save_cpu_state(ctx, 0); gen_op_eret(); ctx->bstate = BS_EXCP; break; case OPC_DERET: opn = ""deret""; if (!(ctx->hflags & MIPS_HFLAG_DM)) { MIPS_INVAL(opn); generate_exception(ctx, EXCP_RI); } else { save_cpu_state(ctx, 0); gen_op_deret(); ctx->bstate = BS_EXCP; } break; case OPC_WAIT: opn = ""wait""; /* If we get an exception, we want to restart at next instruction */ ctx->pc += 4; save_cpu_state(ctx, 1); ctx->pc -= 4; gen_op_wait(); ctx->bstate = BS_EXCP; break; default: die: MIPS_INVAL(opn); generate_exception(ctx, EXCP_RI); return; } MIPS_DEBUG(""%s %s %d"", opn, regnames[rt], rd); }","[['env'], ['ctx'], ['opc'], ['rt'], ['rd'], ['opn'], ['OPC_MFC0'], ['gen_mfc0'], ['gen_op_store_T0_gpr'], ['OPC_MTC0'], ['GEN_LOAD_REG_TN'], ['T0'], ['gen_mtc0'], ['TARGET_MIPS64'], ['OPC_DMFC0'], ['gen_dmfc0'], ['OPC_DMTC0'], ['gen_dmtc0'], ['OPC_TLBWI'], ['gen_op_tlbwi'], ['OPC_TLBWR'], ['gen_op_tlbwr'], ['OPC_TLBP'], ['gen_op_tlbp'], ['OPC_TLBR'], ['gen_op_tlbr'], ['OPC_ERET'], ['save_cpu_state'], ['gen_op_eret'], ['BS_EXCP'], ['OPC_DERET'], ['MIPS_HFLAG_DM'], ['MIPS_INVAL'], ['generate_exception'], ['EXCP_RI'], ['gen_op_deret'], ['OPC_WAIT'], ['gen_op_wait'], ['MIPS_DEBUG'], ['regnames']]"
"static void tricore_cpu_initfn(Object *obj) { CPUState *cs = CPU(obj); TriCoreCPU *cpu = TRICORE_CPU(obj); CPUTriCoreState *env = &cpu->env; cs->env_ptr = env; cpu_exec_init(cs, &error_abort); if (tcg_enabled()) { tricore_tcg_init(); } }","[['obj'], ['cs'], ['CPU'], ['cpu'], ['TRICORE_CPU'], ['env'], ['cpu_exec_init'], ['error_abort'], ['tcg_enabled'], ['tricore_tcg_init']]"
"static int mxf_read_content_storage(MXFContext *mxf, ByteIOContext *pb, int tag) { switch (tag) { case 0x1901: mxf->packages_count = get_be32(pb); if (mxf->packages_count >= UINT_MAX / sizeof(UID)) return -1; mxf->packages_refs = av_malloc(mxf->packages_count * sizeof(UID)); if (!mxf->packages_refs) return -1; url_fskip(pb, 4); /* useless size of objects, always 16 according to specs */ get_buffer(pb, (uint8_t *)mxf->packages_refs, mxf->packages_count * sizeof(UID)); break; } return 0; }","[['mxf'], ['pb'], ['tag'], ['get_be32'], ['UINT_MAX'], ['UID'], ['av_malloc'], ['url_fskip'], ['get_buffer']]"
